mean_eval,median_eval,pop_best_eval,best_eval,worst_eval,no_envs
30.421340942382812,22.5388240814209,-61.13755798339844,-61.13755798339844,137.42184448242188,36
31.438364028930664,23.167381286621094,12.149540901184082,-61.13755798339844,137.42184448242188,36
36.595245361328125,17.630212783813477,15.203598022460938,-61.13755798339844,165.48306274414062,36
24.720767974853516,15.726395606994629,12.707988739013672,-61.13755798339844,165.48306274414062,36
18.883182525634766,16.565170288085938,-64.93899536132812,-64.93899536132812,165.48306274414062,36
27.013458251953125,16.263648986816406,10.197271347045898,-64.93899536132812,165.48306274414062,36
19.345970153808594,15.973394393920898,12.783858299255371,-64.93899536132812,165.48306274414062,36
30.060077667236328,15.471551895141602,13.750442504882812,-64.93899536132812,165.48306274414062,36
14.838000297546387,13.946698188781738,7.4018378257751465,-64.93899536132812,165.48306274414062,36
17.019254684448242,16.000036239624023,6.7225141525268555,-64.93899536132812,165.48306274414062,36
19.325695037841797,13.749042510986328,9.258711814880371,-64.93899536132812,165.48306274414062,36
15.92292594909668,14.198814392089844,11.941323280334473,-64.93899536132812,165.48306274414062,36
20.758607864379883,15.557066917419434,13.211569786071777,-64.93899536132812,165.48306274414062,36
13.642359733581543,12.781828880310059,10.631414413452148,-64.93899536132812,165.48306274414062,36
18.028636932373047,15.603883743286133,9.179119110107422,-64.93899536132812,165.48306274414062,36
13.228830337524414,12.676194190979004,3.3476576805114746,-64.93899536132812,165.48306274414062,36
7.945012092590332,13.783184051513672,-126.75536346435547,-126.75536346435547,165.48306274414062,36
8.26978874206543,12.404234886169434,-68.39539337158203,-126.75536346435547,165.48306274414062,36
-20.97452163696289,14.530130386352539,-160.59107971191406,-160.59107971191406,165.48306274414062,36
-17.905561447143555,13.655044555664062,-150.3749542236328,-160.59107971191406,165.48306274414062,36
-20.173969268798828,11.988121032714844,-157.4328155517578,-160.59107971191406,165.48306274414062,36
-11.846151351928711,1.9327501058578491,-163.83468627929688,-163.83468627929688,165.48306274414062,36
29.121740341186523,22.292430877685547,-163.9268341064453,-163.9268341064453,165.8605499267578,36
21.12877655029297,42.86613082885742,-146.97503662109375,-163.9268341064453,165.8605499267578,36
-23.73446273803711,-15.592300415039062,-163.1041717529297,-163.9268341064453,165.8605499267578,36
-57.01481246948242,-69.35052490234375,-178.77293395996094,-178.77293395996094,165.8605499267578,36
-113.84256744384766,-154.72630310058594,-188.80284118652344,-188.80284118652344,165.8605499267578,36
-43.75936508178711,-107.61707305908203,-156.943115234375,-188.80284118652344,165.8605499267578,36
-98.05868530273438,-159.58290100097656,-181.10537719726562,-188.80284118652344,166.23703002929688,36
-105.3067398071289,-146.0948944091797,-159.29055786132812,-188.80284118652344,166.23703002929688,36
-104.4717025756836,-161.78903198242188,-187.71287536621094,-188.80284118652344,166.23703002929688,36
-45.57701873779297,-162.53445434570312,-214.12806701660156,-214.12806701660156,172.46163940429688,36
-111.00859069824219,-166.68328857421875,-216.66824340820312,-216.66824340820312,172.46163940429688,36
-106.036376953125,-167.3898468017578,-228.09213256835938,-228.09213256835938,172.46163940429688,36
-21.781103134155273,-1.7765110731124878,-181.4102020263672,-228.09213256835938,172.46163940429688,36
-30.077861785888672,-156.1811065673828,-207.7207489013672,-228.09213256835938,188.29127502441406,36
-56.506004333496094,-170.19386291503906,-191.12657165527344,-228.09213256835938,188.29127502441406,36
-123.06912994384766,-173.77984619140625,-219.50694274902344,-228.09213256835938,188.29127502441406,36
-115.89227294921875,-182.58673095703125,-232.51727294921875,-232.51727294921875,188.29127502441406,36
-167.0846710205078,-195.55352783203125,-241.0350341796875,-241.0350341796875,188.29127502441406,36
-108.07826232910156,-180.80776977539062,-214.189208984375,-241.0350341796875,188.29127502441406,36
-131.72474670410156,-212.1531219482422,-242.21450805664062,-242.21450805664062,188.29127502441406,36
-133.751708984375,-220.5108642578125,-256.6319885253906,-256.6319885253906,188.29127502441406,36
-96.82889556884766,-202.52569580078125,-227.15945434570312,-256.6319885253906,188.29127502441406,36
-89.09603118896484,-159.88836669921875,-226.43136596679688,-256.6319885253906,209.52066040039062,36
-143.87899780273438,-205.03370666503906,-253.89337158203125,-256.6319885253906,209.52066040039062,36
7.959507942199707,57.70819854736328,-236.25184631347656,-256.6319885253906,209.52066040039062,36
-71.88443756103516,-147.9639434814453,-236.51602172851562,-256.6319885253906,209.52066040039062,36
-189.09933471679688,-231.15904235839844,-250.62603759765625,-256.6319885253906,209.52066040039062,36
-141.20816040039062,-226.97586059570312,-258.23052978515625,-258.23052978515625,209.52066040039062,36
-62.89080810546875,-140.68882751464844,-252.14878845214844,-258.23052978515625,209.52066040039062,36
-166.60641479492188,-225.1422576904297,-259.7247009277344,-259.7247009277344,209.52066040039062,36
-28.701772689819336,40.03310012817383,-246.33270263671875,-259.7247009277344,209.52066040039062,36
-53.676307678222656,-132.77105712890625,-262.0611267089844,-262.0611267089844,209.52066040039062,36
-110.93485260009766,-227.86117553710938,-254.81239318847656,-262.0611267089844,275.6935119628906,36
-112.29228210449219,-208.6846923828125,-248.11524963378906,-262.0611267089844,275.6935119628906,36
-174.45785522460938,-239.93804931640625,-257.9126892089844,-262.0611267089844,275.6935119628906,36
-162.85476684570312,-213.4845428466797,-276.73370361328125,-276.73370361328125,275.6935119628906,36
-49.30484390258789,-213.67288208007812,-243.82290649414062,-276.73370361328125,275.6935119628906,36
-112.53868103027344,-232.380859375,-276.8825988769531,-276.8825988769531,275.6935119628906,36
-108.1397933959961,-216.62815856933594,-276.19952392578125,-276.8825988769531,275.6935119628906,36
-131.408935546875,-256.1991882324219,-277.1842041015625,-277.1842041015625,275.6935119628906,36
-110.0976333618164,-242.77072143554688,-278.2217102050781,-278.2217102050781,275.6935119628906,36
-107.11335754394531,-229.24302673339844,-301.882568359375,-301.882568359375,275.6935119628906,36
-60.19709014892578,-187.63790893554688,-281.3596496582031,-301.882568359375,275.6935119628906,36
-168.5226593017578,-242.01878356933594,-310.5,-310.5,275.6935119628906,36
-201.08685302734375,-259.4219970703125,-397.481201171875,-397.481201171875,275.6935119628906,36
-70.33876037597656,-188.6058807373047,-329.0998840332031,-397.481201171875,275.6935119628906,36
-86.03195190429688,-237.6383514404297,-339.46990966796875,-397.481201171875,275.6935119628906,36
-73.92628479003906,-163.86541748046875,-350.17230224609375,-397.481201171875,275.6935119628906,36
-149.0330047607422,-252.4040069580078,-327.03680419921875,-397.481201171875,275.6935119628906,36
-117.43165588378906,-257.4565124511719,-304.2843933105469,-397.481201171875,275.6935119628906,36
-122.08152770996094,-256.1079406738281,-305.444091796875,-397.481201171875,275.6935119628906,36
-207.7962188720703,-274.37628173828125,-343.7941589355469,-397.481201171875,275.6935119628906,36
-158.23739624023438,-255.43756103515625,-328.1429138183594,-397.481201171875,275.6935119628906,36
-150.91964721679688,-258.0975036621094,-374.53173828125,-397.481201171875,275.6935119628906,36
-70.45761108398438,-46.43296813964844,-454.51422119140625,-454.51422119140625,275.6935119628906,36
-133.02163696289062,-234.21102905273438,-390.43939208984375,-454.51422119140625,275.6935119628906,36
-148.1862335205078,-260.5747375488281,-369.41796875,-454.51422119140625,275.6935119628906,36
-191.26441955566406,-273.11083984375,-379.85797119140625,-454.51422119140625,275.6935119628906,36
-197.79881286621094,-271.29498291015625,-357.5940856933594,-454.51422119140625,275.6935119628906,36
-156.48345947265625,-264.4833984375,-376.7320556640625,-454.51422119140625,275.6935119628906,36
-148.87371826171875,-226.11825561523438,-411.56146240234375,-454.51422119140625,275.6935119628906,36
-190.37498474121094,-288.504150390625,-381.2472839355469,-454.51422119140625,275.6935119628906,36
-178.05596923828125,-269.3808288574219,-384.9047546386719,-454.51422119140625,275.6935119628906,36
-49.78654098510742,4.288218975067139,-348.6867980957031,-454.51422119140625,275.6935119628906,36
-132.96510314941406,-255.8380889892578,-381.5138854980469,-454.51422119140625,275.6935119628906,36
-224.144775390625,-324.9270324707031,-383.18243408203125,-454.51422119140625,275.6935119628906,36
-105.70259857177734,-196.3164520263672,-381.3323669433594,-454.51422119140625,275.6935119628906,36
-172.7355194091797,-314.72161865234375,-366.1544494628906,-454.51422119140625,275.6935119628906,36
-235.8313446044922,-278.345703125,-374.66619873046875,-454.51422119140625,275.6935119628906,36
-113.6859130859375,-217.9449005126953,-327.6852111816406,-454.51422119140625,394.6528625488281,36
-99.8534927368164,-125.1273193359375,-311.4573669433594,-454.51422119140625,394.6528625488281,36
-204.72039794921875,-272.57342529296875,-397.1258239746094,-454.51422119140625,394.6528625488281,36
-160.9520263671875,-296.269775390625,-361.8366394042969,-454.51422119140625,394.6528625488281,36
-169.6573944091797,-236.1013641357422,-431.32598876953125,-454.51422119140625,394.6528625488281,36
-178.46273803710938,-245.3007354736328,-413.115966796875,-454.51422119140625,394.6528625488281,36
-179.72036743164062,-246.4215545654297,-354.0730895996094,-454.51422119140625,394.6528625488281,36
-182.40048217773438,-321.55975341796875,-362.9134216308594,-454.51422119140625,394.6528625488281,36
-149.96299743652344,-215.7241973876953,-337.6195373535156,-454.51422119140625,394.6528625488281,36
-254.64614868164062,-281.9167785644531,-389.42645263671875,-454.51422119140625,394.6528625488281,36
-77.8039321899414,-145.6425323486328,-340.8315124511719,-454.51422119140625,394.6528625488281,36
-62.17962646484375,-10.56318473815918,-329.10260009765625,-454.51422119140625,394.6528625488281,36
-283.66021728515625,-310.6202392578125,-366.2876892089844,-454.51422119140625,394.6528625488281,36
-120.61141204833984,-185.6359405517578,-353.32757568359375,-454.51422119140625,394.6528625488281,36
-223.0671844482422,-258.80950927734375,-349.8035888671875,-454.51422119140625,394.6528625488281,36
-221.6127166748047,-340.7063903808594,-370.0509948730469,-454.51422119140625,394.6528625488281,36
-171.56002807617188,-265.8441467285156,-374.6302795410156,-454.51422119140625,394.6528625488281,36
-209.9597930908203,-311.3782653808594,-398.9774475097656,-454.51422119140625,394.6528625488281,36
-79.7591781616211,-99.47764587402344,-389.265380859375,-454.51422119140625,394.6528625488281,36
-111.03892517089844,-215.8901824951172,-380.25946044921875,-454.51422119140625,394.6528625488281,36
-192.9232635498047,-279.8102111816406,-370.55535888671875,-454.51422119140625,394.6528625488281,36
-216.5244598388672,-290.89361572265625,-369.6588439941406,-454.51422119140625,394.6528625488281,36
-186.71414184570312,-311.5234680175781,-358.8009338378906,-454.51422119140625,394.6528625488281,36
-179.1369171142578,-295.64117431640625,-549.6151733398438,-549.6151733398438,394.6528625488281,36
-157.1977081298828,-274.2077331542969,-376.3806457519531,-549.6151733398438,394.6528625488281,36
-228.02645874023438,-314.0564270019531,-387.3800964355469,-549.6151733398438,394.6528625488281,36
