mean_eval,median_eval,pop_best_eval,best_eval,worst_eval,no_envs
29.479751586914062,22.799081802368164,-64.61914825439453,-64.61914825439453,128.23187255859375,36
25.761056900024414,20.112422943115234,10.441527366638184,-64.61914825439453,128.23187255859375,36
32.12302780151367,15.817745208740234,12.324202537536621,-64.61914825439453,145.4738311767578,36
14.490547180175781,14.28531551361084,-125.4564437866211,-125.4564437866211,145.4738311767578,36
12.267236709594727,16.03376579284668,-154.46910095214844,-154.46910095214844,145.4738311767578,36
2.3921287059783936,21.18800926208496,-159.50320434570312,-159.50320434570312,145.4738311767578,36
5.752722263336182,16.631574630737305,-141.38182067871094,-159.50320434570312,148.0447235107422,36
-36.57926940917969,7.273991584777832,-150.1039276123047,-159.50320434570312,148.0447235107422,36
-27.57221031188965,14.899449348449707,-155.2754364013672,-159.50320434570312,148.0447235107422,36
-29.0059757232666,14.144136428833008,-160.22366333007812,-160.22366333007812,148.0447235107422,36
-44.487464904785156,2.529730796813965,-165.3931121826172,-165.3931121826172,158.0139923095703,36
0.7177788019180298,14.524746894836426,-185.96849060058594,-185.96849060058594,177.2350311279297,36
-57.59546661376953,-139.50987243652344,-145.6102294921875,-185.96849060058594,177.2350311279297,36
-54.41263961791992,-144.70082092285156,-161.7957763671875,-185.96849060058594,177.2350311279297,36
-46.70136642456055,6.979426383972168,-163.13914489746094,-185.96849060058594,177.2350311279297,36
-50.687889099121094,-17.657367706298828,-167.41795349121094,-185.96849060058594,177.2350311279297,36
-81.13973236083984,-161.50015258789062,-167.81793212890625,-185.96849060058594,177.2350311279297,36
-78.417236328125,-163.36788940429688,-177.76220703125,-185.96849060058594,180.84133911132812,36
-84.41783142089844,-145.88780212402344,-159.62265014648438,-185.96849060058594,199.56741333007812,36
-79.84547424316406,-149.27223205566406,-167.01373291015625,-185.96849060058594,199.56741333007812,36
-101.20858001708984,-157.92210388183594,-183.73858642578125,-185.96849060058594,199.56741333007812,36
-120.03883361816406,-165.28176879882812,-190.95924377441406,-190.95924377441406,199.56741333007812,36
-91.41594696044922,-173.6748046875,-214.27182006835938,-214.27182006835938,199.56741333007812,36
-132.5030975341797,-173.95848083496094,-214.47097778320312,-214.47097778320312,199.56741333007812,36
-132.53958129882812,-185.48220825195312,-259.8632507324219,-259.8632507324219,199.56741333007812,36
-56.60612869262695,-153.25599670410156,-231.2515411376953,-259.8632507324219,199.56741333007812,36
-99.35279846191406,-189.7761688232422,-248.6935272216797,-259.8632507324219,199.56741333007812,36
-142.8252716064453,-194.75767517089844,-259.2969055175781,-259.8632507324219,199.56741333007812,36
-89.37159729003906,-197.05267333984375,-272.1984558105469,-272.1984558105469,199.56741333007812,36
